book_id,original_title,normalized_title,normalized_series_key,collection_candidate_name,rule_used,confidence,volume_detected,needs_review,skip_reason,eligible_for_collection,group_count,source_type,source_page,is_expired
70,The Year Of Magical Thinking (Joan Didion) (Z-Library),The Year Of Magical Thinking (Joan Didion),,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
225,They Both Die at the End,They Both Die at the End,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
1131,Thinblade: An Epic Fantasy Action Adventure (Sovereign of the Seven Isles Book 1),Thinblade: An Epic Fantasy Action Adventure (Sovereign of the Seven Isles Book 1),sovereign of the seven isles,Sovereign of the Seven Isles,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1110,Through Streets Broad and Narrow: An inspiring tale from 1920's Dublin (Ivy Rose Series Book 1),Through Streets Broad and Narrow: An inspiring tale from 1920's Dublin (Ivy Rose Series Book 1),ivy rose series,Ivy Rose Series,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
458,To Aru Hikūshi e no Tsuioku,To Aru Hikūshi e no Tsuioku,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
1160,To Journey in the Year of the Tiger (The Rise of the Upper Kingdom Book 1),To Journey in the Year of the Tiger (The Rise of the Upper Kingdom Book 1),the rise of the upper kingdom,The Rise of the Upper Kingdom,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
30,tomeoffire_bookone_salamander,tomeoffire bookone salamander,tomeoffire,tomeoffire,prefix_book_marker,high,one,True,only_one_matching_book,False,1,personal_document,pdocs,False
1199,Tortured Dreams (Dreams & Reality Series Book 1),Tortured Dreams (Dreams & Reality Series Book 1),dreams reality series,Dreams & Reality Series,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1233,Traitor's Masque: A Retelling of Cinderella (The Andari Chronicles Book 1),Traitor's Masque: A Retelling of Cinderella (The Andari Chronicles Book 1),the andari chronicles,The Andari Chronicles,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
31,treacheriesofthespacemarines,treacheriesofthespacemarines,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
229,Truthwitch,Truthwitch,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
1242,Tubby Dubonnet Mysteries Vol 5-6,Tubby Dubonnet Mysteries Vol 5-6,tubby dubonnet mysteries,Tubby Dubonnet Mysteries,prefix_volume_marker,high,5-6,True,only_one_matching_book,False,1,amazon_book,booksAll,False
26,ultramarines,ultramarines,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
1017,Undefined (The Elemental Saga Book 1),Undefined (The Elemental Saga Book 1),the elemental saga,The Elemental Saga,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
1240,Unforeseen (Thomas Prescott Book 1),Unforeseen (Thomas Prescott Book 1),thomas prescott,Thomas Prescott,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
33,urdesh_theserpentandthesaint,urdesh theserpentandthesaint,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
28,victoriesofthespacemarines,victoriesofthespacemarines,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
945,Volume 4: A Spring and A Curse,Volume 4: A Spring and A Curse,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
1120,Wander Dust (The Seraphina Parrish Trilogy Book 1),Wander Dust (The Seraphina Parrish Trilogy Book 1),the seraphina parrish trilogy,The Seraphina Parrish Trilogy,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
519,Washio Sumi wa Yuusha de Aru,Washio Sumi wa Yuusha de Aru,,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
1121,Water (The Akasha Series Book 1),Water (The Akasha Series Book 1),the akasha series,The Akasha Series,parenthetical_series_book,high,1,True,only_one_matching_book,False,1,amazon_book,booksAll,False
11,Watership Down (Richard Adams) (Z-Library),Watership Down (Richard Adams),,,no_series_match,low,,False,no_series_pattern_detected,False,0,personal_document,pdocs,False
