collection_candidate_name,normalized_series_key,book_count,confidence,needs_review,rule_used_set,book_ids,book_titles
Berserk of Gluttony (Light Novel) Vol.,berserk of gluttony light novel vol,3,medium,True,repeated_structured_prefix,921 | 920 | 350,Berserk of Gluttony (Light Novel) Vol. 1 | Berserk of Gluttony (Light Novel) Vol. 2 | Berserk of Gluttony (Light Novel) Vol. 4
Black Summoner,black summoner,5,high,False,prefix_volume_marker,648 | 647 | 646 | 645 | 644,Black Summoner: Volume 1 | Black Summoner: Volume 2 | Black Summoner: Volume 3 | Black Summoner: Volume 4 | Black Summoner: Volume 5
Book Girl and the Scribe Who Faced God,book girl and the scribe who faced god,2,high,False,prefix_part_marker,603 | 602,"Book Girl and the Scribe Who Faced God, Part 1 | Book Girl and the Scribe Who Faced God, Part 2"
Campfire Cooking in Another World with My Absurd Skill,campfire cooking in another world with my absurd skill,10,high,False,prefix_volume_marker,798 | 362 | 797 | 796 | 795 | 794 | 792 | 791 | 790 | 789,Campfire Cooking in Another World with My Absurd Skill: Volume 1 | Campfire Cooking in Another World with My Absurd Skill: Volume 10 | Campfire Cooking in Another World with My Absurd Skill: Volume 2 | Campfire Cooking in Another World with My Absurd Skill: Volume 3 | Campfire Cooking in Another World with My Absurd Skill: Volume 4 | Campfire Cooking in Another World with My Absurd Skill: Volume 5 | Campfire Cooking in Another World with My Absurd Skill: Volume 6 | Campfire Cooking in Another World with My Absurd Skill: Volume 7 | Campfire Cooking in Another World with My Absurd Skill: Volume 8 | Campfire Cooking in Another World with My Absurd Skill: Volume 9
Campione!,campione,21,high,False,prefix_volume_marker,601 | 592 | 591 | 590 | 589 | 588 | 587 | 586 | 585 | 584 | 583 | 600 | 582 | 581 | 599 | 598 | 597 | 596 | 595 | 594 | 593,Campione! - Volume 1 - Heretic God | Campione! - Volume 10 - War God of the Lance | Campione! - Volume 11 - The Second Tale | Campione! - Volume 12 - Transient Holy Night | Campione! - Volume 13 - Princess Goddess of the South Seas | Campione! - Volume 14 - The Eighth Godslayer | Campione! - Volume 15 - Son of the Goddess | Campione! - Volume 16 - The Stirring of Heroes | Campione! - Volume 17 - The Hero's Name | Campione! - Volume 18 - Unfinished Stories of the Devil Kings | Campione! - Volume 19 - War of the Devil Kings | Campione! - Volume 2 - Arrival of a Devil King | Campione! - Volume 20 - War of the Devil Kings 2 | Campione! - Volume 21 - The final battle | Campione! - Volume 3 - Tale of the Beginning | Campione! - Volume 4 - The Hero and The King | Campione! - Volume 5 - Miko of the Sword | Campione! - Volume 6 - Flying Phoenix of Divine Mountain | Campione! - Volume 7 - Great Sage Equaling Heaven | Campione! - Volume 8 - Trials of the Devil Kings | Campione! - Volume 9 - Return of the Goddess
Chrome Shelled Regios,chrome shelled regios,24,high,False,prefix_volume_marker,579 | 578 | 577 | 576 | 575 | 574 | 573 | 572 | 571 | 570 | 569 | 568 | 567 | 566 | 565 | 564 | 563 | 562 | 561 | 560 | 559 | 558 | 557 | 556,Chrome Shelled Regios - Volume 01 - Chrome Shelled Regios | Chrome Shelled Regios - Volume 02 - Silent Talk | Chrome Shelled Regios - Volume 03 - Sentimental Voice | Chrome Shelled Regios - Volume 04 - Confidential Call | Chrome Shelled Regios - Volume 05 - Emotional Howl | Chrome Shelled Regios - Volume 06 - Red Nocturne | Chrome Shelled Regios - Volume 07 - White Opera | Chrome Shelled Regios - Volume 08 - Mixing Note | Chrome Shelled Regios - Volume 09 - Blue Mazurka | Chrome Shelled Regios - Volume 10 - Complex Days | Chrome Shelled Regios - Volume 11 - Impact Girls | Chrome Shelled Regios - Volume 12 - Black Arabesque | Chrome Shelled Regios - Volume 13 - Grey Concerto | Chrome Shelled Regios - Volume 14 - Scarlet Oratorio | Chrome Shelled Regios - Volume 15 - Next Bloom | Chrome Shelled Regios - Volume 16 - Spring Burst | Chrome Shelled Regios - Volume 17 - Summer Night Rave | Chrome Shelled Regios - Volume 18 - Crying Autumn | Chrome Shelled Regios - Volume 19 - Initiation Log | Chrome Shelled Regios - Volume 20 - Desire Report | Chrome Shelled Regios - Volume 21 - Winter Fall (I) | Chrome Shelled Regios - Volume 22 - Winter Fall (II) | Chrome Shelled Regios - Volume 23 - Like a Storm | Chrome Shelled Regios - Volume 24 - Life is Goodbye
Cooking with Wild Game,cooking with wild game,14,high,False,prefix_volume_marker,349 | 338 | 342 | 341 | 337 | 336 | 348 | 347 | 346 | 345 | 344 | 340 | 343 | 339,Cooking with Wild Game: Volume 1 | Cooking with Wild Game: Volume 10 | Cooking with Wild Game: Volume 11 | Cooking with Wild Game: Volume 12 | Cooking with Wild Game: Volume 13 | Cooking with Wild Game: Volume 14 | Cooking with Wild Game: Volume 2 | Cooking with Wild Game: Volume 3 | Cooking with Wild Game: Volume 4 | Cooking with Wild Game: Volume 5 | Cooking with Wild Game: Volume 6 | Cooking with Wild Game: Volume 7 | Cooking with Wild Game: Volume 8 | Cooking with Wild Game: Volume 9
Cradle,cradle,11,high,False,parenthetical_series_book,1035 | 1029 | 1027 | 1033 | 1028 | 1034 | 1036 | 1031 | 1032 | 1037 | 1030,Blackflame (Cradle Book 3) | Bloodline (Cradle Book 9) | Dreadgod (Cradle Book 11) | Ghostwater (Cradle Book 5) | Reaper (Cradle Book 10) | Skysworn (Cradle Book 4) | Soulsmith (Cradle Book 2) | Uncrowned (Cradle Book 7) | Underlord (Cradle Book 6) | Unsouled (Cradle Book 1) | Wintersteel (Cradle Book 8)
Dahlia in Bloom Crafting a Fresh Start with Magical Tools,dahlia in bloom crafting a fresh start with magical tools,8,high,False,prefix_volume_marker,121 | 80 | 65 | 267 | 266 | 204 | 146 | 88,Dahlia in Bloom Crafting a Fresh Start with Magical Tools vol 5 Premium | Dahlia in Bloom Crafting a Fresh Start with Magical Tools vol 7 Premium | Dahlia in Bloom Crafting a Fresh Start with Magical Tools vol 8 Premium | Dahlia in Bloom: Crafting a Fresh Start with Magical Tools Volume 1 | Dahlia in Bloom: Crafting a Fresh Start with Magical Tools Volume 2 | Dahlia in Bloom: Crafting a Fresh Start with Magical Tools Volume 3 | Dahlia in Bloom: Crafting a Fresh Start with Magical Tools Volume 4 | Dahlia in Bloom_ Crafting a Fresh Start with Magical Tools Volume 6
Death March to the Parallel World Rhapsody,death march to the parallel world rhapsody,2,high,False,prefix_volume_marker,788 | 676,"Death March to the Parallel World Rhapsody, Vol. 13 | Death March to the Parallel World Rhapsody, Vol. 14"
