collection_candidate_name,normalized_series_key,book_count,confidence,needs_review,rule_used_set,book_ids,book_titles
Mapping: The Trash-Tier Skill That Got Me Into a Top-Tier,mapping the trash tier skill that got me into a top tier,8,high,False,prefix_part_marker,951 | 950 | 949 | 801 | 677 | 629 | 323 | 250,Mapping: The Trash-Tier Skill That Got Me Into a Top-Tier Party: Volume 1 | Mapping: The Trash-Tier Skill That Got Me Into a Top-Tier Party: Volume 2 | Mapping: The Trash-Tier Skill That Got Me Into a Top-Tier Party: Volume 3 | Mapping: The Trash-Tier Skill That Got Me Into a Top-Tier Party: Volume 4 | Mapping: The Trash-Tier Skill That Got Me Into a Top-Tier Party: Volume 5 | Mapping: The Trash-Tier Skill That Got Me Into a Top-Tier Party: Volume 6 | Mapping: The Trash-Tier Skill That Got Me Into a Top-Tier Party: Volume 7 | Mapping: The Trash-Tier Skill That Got Me Into a Top-Tier Party: Volume 8
Maseki Gurume (LN) volume,maseki gurume ln volume,2,medium,True,repeated_structured_prefix,679 | 678,Maseki Gurume (LN) volume 1 | Maseki Gurume (LN) volume 2
Min-Maxing My TRPG Build in Another World,min maxing my trpg build in another world,5,high,False,prefix_volume_marker,280 | 279 | 191 | 161 | 127,Min-Maxing My TRPG Build in Another World: Volume 1 | Min-Maxing My TRPG Build in Another World: Volume 2 | Min-Maxing My TRPG Build in Another World: Volume 3 | Min-Maxing My TRPG Build in Another World: Volume 4 Canto I | Min-Maxing My TRPG Build in Another World_ Volume 4 Canto II
Mitou Shoukan Blood-Sign,mitou shoukan blood sign,10,high,False,prefix_volume_marker,527 | 484 | 517 | 516 | 514 | 515 | 528 | 523 | 509 | 522,Mitou Shoukan Blood-Sign - Volume 09 | Mitou Shoukan Blood-Sign - Volume 10 | Mitou Shoukan://Blood-Sign - Volume 01 | Mitou Shoukan://Blood-Sign - Volume 02 | Mitou Shoukan://Blood-Sign - Volume 03 | Mitou Shoukan://Blood-Sign - Volume 04 | Mitou Shoukan://Blood-Sign - Volume 05 | Mitou Shoukan://Blood-Sign - Volume 06 | Mitou Shoukan://Blood-Sign — Volume 07 | Mitou Shoukan://Blood-Sign — Volume 08
Monster Tamer,monster tamer,7,high,False,prefix_volume_marker,815 | 136 | 814 | 813 | 682 | 650 | 335,Monster Tamer: Volume 1 | Monster Tamer: Volume 10 | Monster Tamer: Volume 2 | Monster Tamer: Volume 3 | Monster Tamer: Volume 4 | Monster Tamer: Volume 5 | Monster Tamer: Volume 6
Mushoku Tensei: Jobless Reincarnation,mushoku tensei jobless reincarnation,11,high,False,prefix_volume_marker,808 | 701 | 656 | 373 | 281 | 220 | 182 | 164 | 159 | 957 | 133,Mushoku Tensei: Jobless Reincarnation Vol. 10 | Mushoku Tensei: Jobless Reincarnation Vol. 11 | Mushoku Tensei: Jobless Reincarnation Vol. 12 | Mushoku Tensei: Jobless Reincarnation Vol. 13 | Mushoku Tensei: Jobless Reincarnation Vol. 14 | Mushoku Tensei: Jobless Reincarnation Vol. 15 | Mushoku Tensei: Jobless Reincarnation Vol. 16 | Mushoku Tensei: Jobless Reincarnation Vol. 17 | Mushoku Tensei: Jobless Reincarnation Vol. 18 | Mushoku Tensei: Jobless Reincarnation Vol. 9 | Mushoku Tensei_ Jobless Reincarnation Vol. 19
My Happy Marriage,my happy marriage,3,high,False,prefix_volume_marker,163 | 240 | 160,"My Happy Marriage, Vol. 1 | My Happy Marriage, Vol. 1 | My Happy Marriage, Vol. 2"
"My Instant Death Ability is So Overpowered, No One in This Other World Stands a Chance Against Me!",my instant death ability is so overpowered no one in this other world stands a chance against me,7,high,False,prefix_volume_marker,639 | 638 | 637 | 636 | 635 | 634 | 316,"My Instant Death Ability is So Overpowered, No One in This Other World Stands a Chance Against Me! Volume 1 | My Instant Death Ability is So Overpowered, No One in This Other World Stands a Chance Against Me! Volume 2 | My Instant Death Ability is So Overpowered, No One in This Other World Stands a Chance Against Me! Volume 3 | My Instant Death Ability is So Overpowered, No One in This Other World Stands a Chance Against Me! Volume 4 | My Instant Death Ability Is So Overpowered, No One in This Other World Stands a Chance Against Me! Volume 5 | My Instant Death Ability Is So Overpowered, No One in This Other World Stands a Chance Against Me! Volume 6 | My Instant Death Ability Is So Overpowered, No One in This Other World Stands a Chance Against Me! Volume 7"
My Magical Career at Court Living the Dream After My Nightmare Boss Fired Me from the Mages' Guild!,my magical career at court living the dream after my nightmare boss fired me from the mages guild,2,high,False,prefix_volume_marker,67 | 68,My Magical Career at Court_ Living the Dream After My Nightmare Boss Fired Me from the Mages’ Guild! Volume 1 | My Magical Career at Court_ Living the Dream After My Nightmare Boss Fired Me from the Mages’ Guild! Volume 2
My Quiet Blacksmith Life in Another World,my quiet blacksmith life in another world,3,high,False,prefix_volume_marker,216 | 172 | 155,My Quiet Blacksmith Life in Another World: Volume 1 | My Quiet Blacksmith Life in Another World: Volume 2 | My Quiet Blacksmith Life in Another World: Volume 3
My Status as an Assassin Obviously Exceeds the Hero's,my status as an assassin obviously exceeds the hero s,2,high,False,prefix_volume_marker,328 | 327,My Status as an Assassin Obviously Exceeds the Hero’s Vol. 1 | My Status as an Assassin Obviously Exceeds the Hero’s Vol. 2
Our Last Crusade or the Rise of a New World,our last crusade or the rise of a new world,6,high,False,prefix_volume_marker,738 | 737 | 736 | 735 | 734 | 733,"Our Last Crusade or the Rise of a New World, Vol. 1 | Our Last Crusade or the Rise of a New World, Vol. 2 | Our Last Crusade or the Rise of a New World, Vol. 3 (light novel) | Our Last Crusade or the Rise of a New World, Vol. 4 (light novel) (The War Ends the World / Raises the World (light novel)) | Our Last Crusade or the Rise of a New World, Vol. 5 (light novel) (The War Ends the World / Raises the World (light novel)) | Our Last Crusade or the Rise of a New World, Vol. 6 (light novel)"
Outbreak Company,outbreak company,17,high,False,prefix_volume_marker,837 | 977 | 828 | 827 | 826 | 825 | 824 | 823 | 822 | 836 | 835 | 834 | 833 | 832 | 831 | 830 | 829,Outbreak Company: Volume 1 | Outbreak Company: Volume 1 | Outbreak Company: Volume 10 | Outbreak Company: Volume 11 | Outbreak Company: Volume 12 | Outbreak Company: Volume 13 | Outbreak Company: Volume 14 | Outbreak Company: Volume 15 | Outbreak Company: Volume 16 | Outbreak Company: Volume 2 | Outbreak Company: Volume 3 | Outbreak Company: Volume 4 | Outbreak Company: Volume 5 | Outbreak Company: Volume 6 | Outbreak Company: Volume 7 | Outbreak Company: Volume 8 | Outbreak Company: Volume 9
Overlord,overlord,3,high,False,prefix_volume_marker,85 | 165 | 681,"Overlord - Volume 15 - The Half-Elf Demigod | Overlord, Vol. 14: The Witch of the Doomed Kingdom | Overlord, Vol. 14: The Witch of the Ruined Country"
Private Tutor to the Duke's Daughter,private tutor to the duke s daughter,8,high,False,prefix_volume_marker,1 | 269 | 170 | 143 | 61 | 126 | 77 | 72,Private Tutor to the Duke’s Daughter Volume 19 | Private Tutor to the Duke’s Daughter: Volume 1 | Private Tutor to the Duke’s Daughter: Volume 3 | Private Tutor to the Duke’s Daughter: Volume 4 | Private Tutor to the Duke’s Daughter_ Volume 11 | Private Tutor to the Duke’s Daughter_ Volume 5 | Private Tutor to the Duke’s Daughter_ Volume 8 | Private Tutor to the Duke’s Daughter_ Volume 9
Rakuin no Monshou,rakuin no monshou,12,high,False,prefix_volume_marker,494 | 440 | 447 | 511 | 462 | 471 | 470 | 437 | 472 | 501 | 491 | 520,"Rakuin no Monshou - Volume 01 - The Dragon Roars at the Star of Twilight | Rakuin no Monshou - Volume 02 - The Dragon Advances on the Capital of Intrigue | Rakuin no Monshou - Volume 03 - The Sky Darkens under the Dragon’s Wings | Rakuin no Monshou - Volume 04 - Dragon, Bare you Claws of Vengeance! | Rakuin no Monshou - Volume 05 - And Thus the Dragon Alights in the Wilderness | Rakuin no Monshou - Volume 06 - The Dragon Awakens at the Ancient Shrine | Rakuin no Monshou - Volume 07 - A Funeral March of Fools, Alerting the Dragon | Rakuin no Monshou - Volume 08 - The Dragon Ate a Lion and was Reborn | Rakuin no Monshou - Volume 09 - The Dragon’s Laments Tear through the Battlefield | Rakuin no Monshou - Volume 10 - The Wind Laments That the Dragon Lies Low | Rakuin no Monshou - Volume 11 - The Dragon Soars into the Sky at Dawn (First Part) | Rakuin no Monshou - Volume 12 - The Dragon Soars into the Sky at Dawn (Final Part)"
Reign of the Seven Spellblades,reign of the seven spellblades,7,high,False,prefix_volume_marker,101 | 103 | 102 | 706 | 705 | 651 | 272,"Reign of the Seven Spellblades volume 5 | Reign of the Seven Spellblades volume 6 | Reign of the Seven Spellblades volume 7 | Reign of the Seven Spellblades, Vol. 1 | Reign of the Seven Spellblades, Vol. 2 | Reign of the Seven Spellblades, Vol. 3 | Reign of the Seven Spellblades, Vol. 4"
Reincarnated as a Dragon Hatchling,reincarnated as a dragon hatchling,4,high,False,prefix_volume_marker,318 | 317 | 185 | 166,Reincarnated as a Dragon Hatchling Vol. 1 | Reincarnated as a Dragon Hatchling Vol. 2 | Reincarnated as a Dragon Hatchling Vol. 3 | Reincarnated as a Dragon Hatchling Vol. 4
Reincarnated as a Sword,reincarnated as a sword,2,high,False,prefix_volume_marker,365 | 364,Reincarnated as a Sword Vol. 7 | Reincarnated as a Sword Vol. 8
Reincarnated as a Sword (Light Novel) Vol.,reincarnated as a sword light novel vol,7,medium,True,repeated_structured_prefix,371 | 370 | 369 | 368 | 367 | 366 | 363,Reincarnated as a Sword (Light Novel) Vol. 1 | Reincarnated as a Sword (Light Novel) Vol. 2 | Reincarnated as a Sword (Light Novel) Vol. 3 | Reincarnated as a Sword (Light Novel) Vol. 4 | Reincarnated as a Sword (Light Novel) Vol. 5 | Reincarnated as a Sword (Light Novel) Vol. 6 | Reincarnated as a Sword (Light Novel) Vol. 9
Reincarnated as the Last of My Kind,reincarnated as the last of my kind,4,high,False,prefix_volume_marker,110 | 111 | 113 | 114,Reincarnated as the Last of My Kind Volume 1 | Reincarnated as the Last of My Kind Volume 2 | Reincarnated as the Last of my Kind Volume 3 | Reincarnated as the Last of my Kind Volume 4
Reincarnated as the Piggy Duke: This Time I'm Gonna Tell Her How I Feel!,reincarnated as the piggy duke this time i m gonna tell her how i feel,6,high,False,prefix_volume_marker,315 | 314 | 313 | 243 | 206 | 174,Reincarnated as the Piggy Duke: This Time I'm Gonna Tell Her How I Feel! Volume 1 | Reincarnated as the Piggy Duke: This Time I’m Gonna Tell Her How I Feel! Volume 2 | Reincarnated as the Piggy Duke: This Time I’m Gonna Tell Her How I Feel! Volume 3 | Reincarnated as the Piggy Duke: This Time I’m Gonna Tell Her How I Feel! Volume 4 | Reincarnated as the Piggy Duke: This Time I’m Gonna Tell Her How I Feel! Volume 5 | Reincarnated as the Piggy Duke: This Time I’m Gonna Tell Her How I Feel! Volume 6
ROLL OVER AND DIE: I Will Fight for an Ordinary Life with My Love and Cursed Sword!,roll over and die i will fight for an ordinary life with my love and cursed sword,3,high,False,prefix_volume_marker,955 | 675 | 674,ROLL OVER AND DIE: I Will Fight for an Ordinary Life with My Love and Cursed Sword! Vol. 2 | ROLL OVER AND DIE: I Will Fight for an Ordinary Life with My Love and Cursed Sword! Vol. 3 | ROLL OVER AND DIE: I Will Fight for an Ordinary Life with My Love and Cursed Sword! Vol. 4
Secrets of the Silent Witch,secrets of the silent witch,7,high,False,prefix_volume_marker,84 | 141 | 120 | 76 | 24 | 22 | 3,"Secrets of the Silent Witch vol 3 | Secrets of the Silent Witch, Vol. 1 | Secrets of the Silent Witch, Vol. 2 | Secrets of the Silent Witch, Vol. 4 | Secrets of the Silent Witch, Vol. 5 | Secrets of the Silent Witch, Vol. 6 | Secrets of the Silent Witch, Vol. 7"
Seirei Gensouki: Spirit Chronicles,seirei gensouki spirit chronicles,19,high,False,prefix_volume_marker,769 | 768 | 767 | 766 | 765 | 688 | 662 | 372 | 261 | 209 | 764 | 763 | 762 | 761 | 760 | 759 | 758 | 757 | 132,Seirei Gensouki: Spirit Chronicles Volume 1 | Seirei Gensouki: Spirit Chronicles Volume 10 | Seirei Gensouki: Spirit Chronicles Volume 11 | Seirei Gensouki: Spirit Chronicles Volume 12 | Seirei Gensouki: Spirit Chronicles Volume 13 | Seirei Gensouki: Spirit Chronicles Volume 14 | Seirei Gensouki: Spirit Chronicles Volume 15 | Seirei Gensouki: Spirit Chronicles Volume 16 | Seirei Gensouki: Spirit Chronicles Volume 17 | Seirei Gensouki: Spirit Chronicles Volume 18 | Seirei Gensouki: Spirit Chronicles Volume 2 | Seirei Gensouki: Spirit Chronicles Volume 3 | Seirei Gensouki: Spirit Chronicles Volume 4 | Seirei Gensouki: Spirit Chronicles Volume 5 | Seirei Gensouki: Spirit Chronicles Volume 6 | Seirei Gensouki: Spirit Chronicles Volume 7 | Seirei Gensouki: Spirit Chronicles Volume 8 | Seirei Gensouki: Spirit Chronicles Volume 9 | Seirei Gensouki_ Spirit Chronicles Volume 20
Seirei Tsukai no Blade Dance,seirei tsukai no blade dance,20,high,False,prefix_volume_marker,487 | 499 | 507 | 448 | 453 | 404 | 443 | 409 | 420 | 427 | 422 | 406 | 433 | 482 | 429 | 452 | 475 | 479 | 505 | 485,"Seirei Tsukai no Blade Dance - Volume 01 - The Sword, The Academy and The Hell Cat Girl | Seirei Tsukai no Blade Dance - Volume 02 - The Lost Queen | Seirei Tsukai no Blade Dance - Volume 03 - Pledge of the Wind | Seirei Tsukai no Blade Dance - Volume 04 - The Blade Dance | Seirei Tsukai no Blade Dance - Volume 05 - Demon Slayer | Seirei Tsukai no Blade Dance - Volume 06 - The Reminisced Darkness Spirit | Seirei Tsukai no Blade Dance - Volume 07 - The Strongest Blade Dancer | Seirei Tsukai no Blade Dance - Volume 08 - The Night Before the Finale | Seirei Tsukai no Blade Dance - Volume 09 - Cross Fire | Seirei Tsukai no Blade Dance - Volume 10 - The Awakening of the Demon King | Seirei Tsukai no Blade Dance - Volume 11 - Elemental Lord Assassination | Seirei Tsukai no Blade Dance - Volume 12 - Releasing the Sealed Sword | Seirei Tsukai no Blade Dance - Volume 13 - Queen of Ice Blossoms | Seirei Tsukai no Blade Dance - Volume 14 - Upheaval in the Imperial Capital | Seirei Tsukai no Blade Dance - Volume 15 - The Dragon King of Dracunia | Seirei Tsukai no Blade Dance - Volume 16 - The Demon King Returns in Triumph | Seirei Tsukai no Blade Dance - Volume 17 - The Queen of the Demon King City | Seirei Tsukai no Blade Dance - Volume 18 - Retaking the Imperial Capital | Seirei Tsukai no Blade Dance - Volume 19 - Disappearance of the Holy Capital | Seirei Tsukai no Blade Dance vol 20"
Sevens,sevens,10,high,False,prefix_volume_marker,884 | 883 | 878 | 877 | 875 | 882 | 881 | 873 | 876 | 874,Sevens - Volume 01 (LN) | Sevens - Volume 02 (LN) | Sevens - Volume 05 | Sevens - Volume 06 (LN) | Sevens - Volume 09 | Sevens - Volume 3 (LN) | Sevens - Volume 4 | Sevens - Volume 7 | Sevens - Volume 8 (LN) | Sevens vol 10
She Professed Herself Pupil of the Wise Man,she professed herself pupil of the wise man,3,high,False,prefix_volume_marker,233 | 232 | 231,She Professed Herself Pupil of the Wise Man Vol. 1 | She Professed Herself Pupil of the Wise Man Vol. 2 | She Professed Herself Pupil of the Wise Man Vol. 3
Skeleton Knight,skeleton knight,5,high,False,prefix_volume_marker,942 | 947 | 946 | 944 | 943,Skeleton Knight - Volume 07 - United Front | Skeleton Knight - Volume 2: Blade Knight Clan | Skeleton Knight - Volume 3: Humans and Elves | Skeleton Knight Volume 05 | Silver Lining Translations | Skeleton Knight Volume 06 | Silver Lining Translations
"So I'm a Spider, So What?",so i m a spider so what,4,high,False,prefix_volume_marker,812 | 239 | 655 | 238,"So I’m a Spider, So What?, Vol. 11 | So I’m a Spider, So What?, Vol. 12 | So I’m a Spider, So What?, Vol. 12 | So I’m a Spider, So What?, Vol. 13"
Soup Forest The Story of the Woman Who Speaks with Animals and the Former Mercenary,soup forest the story of the woman who speaks with animals and the former mercenary,2,high,False,prefix_volume_marker,20 | 21,Soup Forest_ The Story of the Woman Who Speaks with Animals and the Former Mercenary Vol.1 | Soup Forest_ The Story of the Woman Who Speaks with Animals and the Former Mercenary Vol.2
Sword Art Online Progressive,sword art online progressive,6,medium,True,repeated_structured_prefix,975 | 974 | 973 | 972 | 971 | 970,Sword Art Online Progressive 1 | Sword Art Online Progressive 2 | Sword Art Online Progressive 3 | Sword Art Online Progressive 4 | Sword Art Online Progressive 5 | Sword Art Online Progressive 6 (light novel)
Tales of Leo Attiel,tales of leo attiel,4,high,False,prefix_volume_marker,473 | 430 | 426 | 405,Tales of Leo Attiel - Volume 1 | Tales of Leo Attiel - Volume 2 | Tales of Leo Attiel - Volume 3 | Tales of Leo Attiel - Volume 4
Tatakau Shisho,tatakau shisho,10,high,False,prefix_volume_marker,417 | 425 | 407 | 481 | 431 | 441 | 415 | 451 | 465 | 419,Tatakau Shisho - Volume 08 | Tatakau Shisho - Volume 09 | Tatakau Shisho - Volume 10 | Tatakau Shisho vol.1 | TATAKAU SHISHO vol.2 | Tatakau Shisho vol.3 | Tatakau Shisho vol.4 | Tatakau Shisho vol.5 | Tatakau Shisho vol.6 | Tatakau Shisho vol.7
Tearmoon Empire,tearmoon empire,11,high,False,prefix_volume_marker,203 | 749 | 202 | 748 | 201 | 747 | 200 | 746 | 199 | 198 | 197,Tearmoon Empire: Volume 1 | Tearmoon Empire: Volume 1 | Tearmoon Empire: Volume 2 | Tearmoon Empire: Volume 2 | Tearmoon Empire: Volume 3 | Tearmoon Empire: Volume 3 | Tearmoon Empire: Volume 4 | Tearmoon Empire: Volume 4 | Tearmoon Empire: Volume 5 | Tearmoon Empire: Volume 6 | Tearmoon Empire: Volume 7
Tears of Blood,tears of blood,2,high,True,parenthetical_series_book | prefix_book_marker,1228 | 1275,"His Final Secret (Tears of Blood Book 4) | Tears of Blood, Books 1-3"
Tenkyou no Alderamin,tenkyou no alderamin,3,high,False,prefix_volume_marker,865 | 866 | 864,Tenkyou no Alderamin vol.02 | Tenkyou no Alderamin vol.1 | Tenkyou no Alderamin vol.3
That Time I Got Reincarnated as a Slime,that time i got reincarnated as a slime,13,high,False,prefix_volume_marker,1005 | 979 | 190 | 1004 | 1003 | 1002 | 1001 | 997 | 998 | 999 | 1000 | 703 | 704,"That Time I Got Reincarnated as a Slime, Vol. 1 (Light Novel) | That Time I Got Reincarnated as a Slime, Vol. 10 | That Time I Got Reincarnated as a Slime, Vol. 13 | That Time I Got Reincarnated as a Slime, Vol. 2 (Light Novel) | That Time I Got Reincarnated as a Slime, Vol. 3 (Light Novel) | That Time I Got Reincarnated as a Slime, Vol. 4 (Light Novel) | That Time I Got Reincarnated as a Slime, Vol. 5 (Light Novel) | That Time I Got Reincarnated as a Slime, Vol. 6 (Light Novel) | That Time I Got Reincarnated as a Slime, Vol. 7 (Light Novel) | That Time I Got Reincarnated as a Slime, Vol. 8 (Light Novel) | That Time I Got Reincarnated as a Slime, Vol. 9 (Light Novel) | That Time I Got Reincarnated as a Slime, Volume 11 - Colored Edition | That Time I Got Reincarnated as a Slime, Volume 12 - Colored Edition"
The Alchemist Who Survived Now Dreams of a Quiet City Life,the alchemist who survived now dreams of a quiet city life,6,high,False,prefix_volume_marker,992 | 716 | 715 | 984 | 983 | 714,"The Alchemist Who Survived Now Dreams of a Quiet City Life, Vol. 1 (light novel) (The Alchemist Who Survived Now Dreams of a Quiet City Life (light novel)) | The Alchemist Who Survived Now Dreams of a Quiet City Life, Vol. 2 | The Alchemist Who Survived Now Dreams of a Quiet City Life, Vol. 3 (light novel) (The Alchemist Who Survived Now Dreams of a Quiet City Life (light novel)) | The Alchemist Who Survived Now Dreams of a Quiet City Life, Vol. 4 | The Alchemist Who Survived Now Dreams of a Quiet City Life, Vol. 5 | The Alchemist Who Survived Now Dreams of a Quiet City Life, Vol. 6"
The Angel Next Door Spoils Me Rotten,the angel next door spoils me rotten,3,high,False,prefix_volume_marker,270 | 271 | 273,"The Angel Next Door Spoils Me Rotten, Vol. 1 | The Angel Next Door Spoils Me Rotten, Vol. 2 | The Angel Next Door Spoils Me Rotten, Vol. 3"
The Apothecary Diaries,the apothecary diaries,4,high,False,prefix_volume_marker,379 | 377 | 378 | 247,The Apothecary Diaries: Volume 1 | The Apothecary Diaries: Volume 2 | The Apothecary Diaries: Volume 3 | The Apothecary Diaries: Volume 4
The Asterisk War,the asterisk war,15,high,False,prefix_volume_marker,929 | 927 | 926 | 925 | 924 | 923 | 922 | 750 | 935 | 934 | 933 | 932 | 931 | 930 | 928,"The Asterisk War - Vol. 8 | The Asterisk War, Vol. 10 | The Asterisk War, Vol. 11 | The Asterisk War, Vol. 12 | The Asterisk War, Vol. 13 | The Asterisk War, Vol. 14: Struggle for Supremacy | The Asterisk War, Vol. 15 | The Asterisk War, Vol. 1: Encounter with a Fiery Princess | The Asterisk War, Vol. 2: Awakening of Silver Beauty | The Asterisk War, Vol. 3: The Phoenix War Dance | The Asterisk War, Vol. 4: Quest for Days Lost | The Asterisk War, Vol. 5: Battle for the Crown | The Asterisk War, Vol. 6: The Triumphal Homecoming Battle | The Asterisk War, Vol. 7 | The Asterisk War, Vol. 9"
The Beginning After the End,the beginning after the end,3,high,False,prefix_book_marker,384 | 162 | 79,The Beginning After the End: Book 7: Divergence | The Beginning After the End: Book 9: Reckoning | The Beginning After the End_ Book 10_ Retribution
The Conqueror from a Dying Kingdom,the conqueror from a dying kingdom,2,high,False,prefix_volume_marker,64 | 66,The Conqueror from a Dying Kingdom_ Volume 1 | The Conqueror from a Dying Kingdom_ Volume 2
The Death Mage Who Doesn't Want a Fourth Time,the death mage who doesn t want a fourth time,8,medium,True,repeated_structured_prefix,287 | 293 | 286 | 290 | 292 | 291 | 288 | 289,The Death Mage Who Doesn't Want a Fourth Time 01 | The Death Mage Who Doesn't Want a Fourth Time 02 | The Death Mage Who Doesn't Want a Fourth Time 03 | The Death Mage Who Doesn't Want a Fourth Time 04 | The Death Mage Who Doesn't Want a Fourth Time 05 | The Death Mage Who Doesn't Want a Fourth Time 06 | The Death Mage Who Doesn't Want a Fourth Time 07 | The Death Mage Who Doesn't Want a Fourth Time 08
The Demon Sword Master of Excalibur Academy,the demon sword master of excalibur academy,3,high,False,prefix_volume_marker,756 | 755 | 683,"The Demon Sword Master of Excalibur Academy, Vol. 1 | The Demon Sword Master of Excalibur Academy, Vol. 2 | The Demon Sword Master of Excalibur Academy, Vol. 3"
The Elder Empire - Sea,the elder empire sea,3,high,False,parenthetical_series_book,1022 | 1021 | 1023,Of Dawn and Darkness (The Elder Empire - Sea Book 2) | Of Kings and Killers (The Elder Empire - Sea Book 3) | Of Sea and Shadow (The Elder Empire - Sea Book 1)
The Elder Empire - Shadow,the elder empire shadow,3,high,False,parenthetical_series_book,1025 | 1024 | 1026,Of Darkness and Dawn (The Elder Empire - Shadow Book 2) | Of Killers and Kings (The Elder Empire - Shadow Book 3) | Of Shadow and Sea (The Elder Empire - Shadow Book 1)
The Eminence in Shadow,the eminence in shadow,3,high,False,prefix_volume_marker,713 | 712 | 711,"The Eminence in Shadow, Vol. 1 | The Eminence in Shadow, Vol. 2 | The Eminence in Shadow, Vol. 3"
The Empty Box and Zeroth Maria,the empty box and zeroth maria,7,high,False,prefix_volume_marker,969 | 968 | 966 | 967 | 965 | 964 | 963,"The Empty Box and Zeroth Maria, Vol. 1 | The Empty Box and Zeroth Maria, Vol. 2 | The Empty Box and Zeroth Maria, Vol. 3 | The Empty Box and Zeroth Maria, Vol. 4 | The Empty Box and Zeroth Maria, Vol. 5 (light novel) | The Empty Box and Zeroth Maria, Vol. 6 | The Empty Box and Zeroth Maria, Vol. 7"
"The Genius Prince's Guide to Raising a Nation Out of Debt (Hey, How About Treason?) Vol.",the genius prince s guide to raising a nation out of debt hey how about treason vol,6,medium,True,repeated_structured_prefix,911 | 910 | 909 | 908 | 872 | 710,"The Genius Prince’s Guide to Raising a Nation Out of Debt (Hey, How About Treason?) Vol. 1 | The Genius Prince’s Guide to Raising a Nation Out of Debt (Hey, How About Treason?), Vol. 2 | The Genius Prince’s Guide to Raising a Nation Out of Debt (Hey, How About Treason?), Vol. 3 | The Genius Prince’s Guide to Raising a Nation Out of Debt (Hey, How About Treason?), Vol. 4 | The Genius Prince’s Guide to Raising a Nation Out of Debt (Hey, How About Treason?), Vol. 5 | The Genius Prince’s Guide to Raising a Nation Out of Debt (Hey, How About Treason?), Vol. 6"
The Great Cleric,the great cleric,9,high,False,prefix_volume_marker,858 | 702 | 664 | 617 | 294 | 236 | 184 | 169 | 151,The Great Cleric: Volume 1 | The Great Cleric: Volume 2 | The Great Cleric: Volume 3 | The Great Cleric: Volume 4 | The Great Cleric: Volume 5 | The Great Cleric: Volume 6 | The Great Cleric: Volume 7 | The Great Cleric: Volume 8 | The Great Cleric: Volume 9
The Greatest Magicmaster's Retirement Plan,the greatest magicmaster s retirement plan,9,high,False,prefix_volume_marker,89 | 78 | 626 | 222 | 857 | 319 | 168 | 142 | 686,The Greatest Magicmaster's Retirement Plan Volume-15 Premium | The Greatest Magicmaster's Retirement Plan Volume-16 Premium | The Greatest Magicmaster's Retirement Plan: Volume 10 | The Greatest Magicmaster's Retirement Plan: Volume 12 | The Greatest Magicmaster's Retirement Plan: Volume 8 | The Greatest Magicmaster’s Retirement Plan: Volume 11 | The Greatest Magicmaster’s Retirement Plan: Volume 13 | The Greatest Magicmaster’s Retirement Plan: Volume 14 | The Greatest Magicmaster’s Retirement Plan: Volume 9
The Haunted,the haunted,4,high,False,prefix_book_marker,194 | 624 | 193 | 192,The Haunted Bookstore - Gateway to a Parallel Universe Vol. 1 - The Spirit Daughter and the Exorcist Son | The Haunted Bookstore - Gateway to a Parallel Universe Vol. 1 - The Spirit Daughter and the Exorcist Son | The Haunted Bookstore - Gateway to a Parallel Universe Vol. 2 | The Haunted Bookstore – Gateway to a Parallel Universe Vol. 3
The Insipid Prince's Furtive Grab for The Throne,the insipid prince s furtive grab for the throne,6,high,False,prefix_volume_marker,181 | 180 | 179 | 178 | 177 | 176,The Insipid Prince's Furtive Grab for The Throne Vol.1 Part 1 | The Insipid Prince's Furtive Grab for The Throne Vol.1 Part 2 | The Insipid Prince's Furtive Grab for The Throne Vol.1 Part 3 | The Insipid Prince's Furtive Grab for The Throne Vol.2 Part 1 | The Insipid Prince's Furtive Grab for The Throne Vol.2 Part 2 | The Insipid Prince's Furtive Grab for The Throne Vol.2 Part 3
The Isolator,the isolator,4,high,False,prefix_volume_marker,962 | 961 | 960 | 959,"The Isolator, Vol. 1: The Biter | The Isolator, Vol. 2: The Igniter | The Isolator, Vol. 3: The Trancer | The Isolator, Vol. 4: The Stinger"
The Kingkiller Chronicle,the kingkiller chronicle,2,high,False,prefix_book_marker,87 | 86,"The Kingkiller Chronicle, Book 1 - The Name of the Wind (Patrick Rothfuss) (Z-Library) | The Kingkiller Chronicle, Book 2 - The Wise Mans Fear (Patrick Rothfuss) (Z-Library)"
The Magician Who Rose From Failure,the magician who rose from failure,6,high,False,prefix_volume_marker,109 | 63 | 333 | 332 | 331 | 242,The Magician Who Rose From Failure Volume 5 Premium | The Magician Who Rose From Failure Volume 6 Premium | The Magician Who Rose From Failure: Volume 1 | The Magician Who Rose From Failure: Volume 2 | The Magician Who Rose From Failure: Volume 3 | The Magician Who Rose From Failure: Volume 4
